,Table,Catalogue,Data Item Description,Series Type,Series ID,Freq.,Series Start,Series End,No. Obs.,Unit,Data Type,Collection Month
1564,"Key data by industry subdivision, Electricity, gas, water and waste services, 2021-22",8155.0 Australian Industry,Industry value added ;  27 Gas supply ;,Original,A130074844J,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
1425,"Key data by industry subdivision, Health care and social assistance (private), 2021-22",8155.0 Australian Industry,Wages and salaries (including capitalised wages) ;  Qld ;  Health care and social assistance (private) ;,Original,A130124330R,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
104,"Key data by industry subdivision, Information media and telecommunications, 2021-22",8155.0 Australian Industry,Total expenses ;  Off-June adjusted ;  57 Internet publishing and broadcasting ;,Original,A130120088F,Annual,2011-06-01,2022-06-01,12,$ Millions,FLOW,6
1301,"Key data by industry subdivision, Manufacturing, 2021-22",8155.0 Australian Industry,"Earnings before interest tax depreciation and amortisation ;  15 Pulp, paper and converted paper product manufacturing ;",Original,A130101501V,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
1008,"Key data by industry subdivision, Mining, 2021-22",8155.0 Australian Industry,Operating profit before tax ;  09 Non-metallic mineral mining and quarrying ;,Original,A130073909T,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
262,"Key data by industry subdivision, Other services, 2021-22",8155.0 Australian Industry,Wages and salaries (including capitalised wages) ;  Other services ;,Original,A130104747X,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
816,"Key data by industry subdivision, Professional, scientific and technical services, 2021-22",8155.0 Australian Industry,"Wages and salaries (including capitalised wages) ;  Vic. ;  Professional, scientific and technical services ;",Original,A130124264C,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
1114,"Key data by industry subdivision, Public administration and safety (private), 2021-22",8155.0 Australian Industry,Sales and service income ;  SA ;  Public administration and safety (private) ;,Original,A130126347W,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
762,"Key data by industry subdivision, Rental, hiring and real estate services, 2021-22",8155.0 Australian Industry,"Wages and salaries (including capitalised wages) ;  ACT ;  Rental, hiring and real estate services ;",Original,A130124024T,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
416,"Key data by industry subdivision, Retail trade, 2021-22",8155.0 Australian Industry,Wages and salaries (including capitalised wages) ;  SA ;  Retail trade ;,Original,A130124390T,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
1846,"Key data by industry subdivision, Transport, postal and warehousing, 2021-22",8155.0 Australian Industry,Industry value added ;  Off-June adjusted ;  52 Transport support services ;,Original,A130120069X,Annual,2011-06-01,2022-06-01,12,$ Millions,FLOW,6
206,"Key data by industry subdivision, Wholesale trade, 2021-22",8155.0 Australian Industry,Total income ;  Off-June adjusted ;  Wholesale trade ;,Original,A130121067L,Annual,2011-06-01,2022-06-01,12,$ Millions,FLOW,6
55243,Labour Account industry summary table by industry division - seasonally adjusted,6150.0.55.003 Labour Account Australia,Payments; Total labour costs ;  Australia ;  Retail trade (G) ;,Seasonally Adjusted,A85391046A,Quarter,1994-09-01,2023-12-01,118,$ Millions,FLOW,3
98502,Public sector employees and cash wages and salaries by industry,6248.0.55.002 Public sector employment and earnings,Cash Wages and Salaries ;  Financial and insurance services ;  Total (Level of Government) ;  Australia ;,Original,A130186095F,Annual,2022-06-01,2023-06-01,2,$ Millions,FLOW,6
98437,"Public sector employees and cash wages and salaries, level of government, states and territories",6248.0.55.002 Public sector employment and earnings,Employees ;  Total industries ;  State government ;  Northern Territory ;,Original,A130186834X,Annual,2022-06-01,2023-06-01,2,000,STOCK,6
52695,"TABLE 01. Estimated dwelling stock, additions and removals, Australia",8701.0 Estimated dwelling stock,Number of dwelling removals ;  Houses ;  Australia ;,Original,A129471801L,Quarter,2016-09-01,2022-06-01,24,Number,FLOW,3
34681,"TABLE 01. Value of Building Work Done by Sector, Australia - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work done during quarter ;  Chain Volume Measures ;  Total Sectors ;  Total (Type of Building) ;,Trend,A83779075K,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
43806,"TABLE 01. Value of Construction Work Done, by Sector, Chain Volume Measures, Australia","8755.0 Construction Work Done, Australia, Preliminary",Value of work done ;  Chain Volume Measures ;  Public Sector ;  Total building ;,Original,A405040A,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52310,"TABLE 01. Value of Work Done, by Sector, Chain Volume Measures, Australia","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Chain Volume Measures ;  Total by the private sector ;,Trend,A1831480C,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
52605,"TABLE 02. Estimated dwelling stock, additions and removals, New South Wales",8701.0 Estimated dwelling stock,Dwelling stock ;  Apartments - Total including those attached to a house ;  New South Wales ;,Original,A129471859C,Quarter,2016-06-01,2022-06-01,25,Number,STOCK_CLOSE,3
38403,"TABLE 02. Value of Building Work Done by Sector, States and Territories - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  Total Sectors ;  Total Non-residential ;,Seasonally Adjusted,A83778387C,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
43803,"TABLE 02. Value of Construction Work Done, by Sector, Current Prices, Australia","8755.0 Construction Work Done, Australia, Preliminary",Value of work done ;  Current Prices ;  Public Sector ;  Total (Type of Construction) ;,Trend,A408981J,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
51965,"TABLE 02. Value of Work Done, States and Territories, Chain Volume Measures","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Chain Volume Measures ;  Queensland ;,Trend,A1831486T,Quarter,1987-09-01,2023-12-01,146,$'000,FLOW,3
52598,"TABLE 03. Estimated dwelling stock, additions and removals, Victoria",8701.0 Estimated dwelling stock,Number of dwelling removals ;  Total (Type of Building) ;  Victoria ;,Original,A129471819K,Quarter,2016-09-01,2022-06-01,24,Number,FLOW,3
43764,"TABLE 03. Value of Building Work Done, by Sector, Chain Volume Measures, Australia","8755.0 Construction Work Done, Australia, Preliminary",Value of work done during quarter ;  Chain Volume Measures ;  Private Sector ;  New ;  Houses ;,Trend,A83768779C,Quarter,1980-09-01,2023-12-01,174,$'000,FLOW,3
37318,"TABLE 03. Value of Residential Building Work Done by Sector, Australia - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work done during quarter ;  Chain Volume Measures ;  Total (Type of Work) ;  Total Residential ;  Private Sector ;,Seasonally Adjusted,A83775547X,Quarter,1987-09-01,2023-12-01,146,$'000,FLOW,3
52133,"TABLE 03. Value of Work Done, by Sector, Australia","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Total all sectors ;,Trend,A1832177F,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
52644,"TABLE 04. Estimated dwelling stock, additions and removals, Queensland",8701.0 Estimated dwelling stock,"Number of dwelling additions ;  Semi-detached, row or terrace houses, townhouses - Total ;  Queensland ;",Original,A129471932L,Quarter,2016-09-01,2022-06-01,24,Number,FLOW,3
43735,"TABLE 04. Value of Building Work Done, Chain Volume Measures, States and Territories, Original","8755.0 Construction Work Done, Australia, Preliminary",Value of work done during quarter ;  Chain Volume Measures ;  Australia ;  Total Sectors ;  Total (Type of Work) ;  Total (Type of Building) ;,Original,A83778643C,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
36903,"TABLE 04. Value of Residential Building Work Done, States and Territories - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  New ;  Total Residential ;,Seasonally Adjusted,A83770371R,Quarter,1980-09-01,2023-12-01,174,$'000,FLOW,3
51717,"TABLE 04. Value of Work Done, States and Territories","8762.0 Engineering Construction Activity, Australia",Value of work done ;  South Australia ;,Seasonally Adjusted,A1834584A,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
51793,"TABLE 05. Activity, States and Territories, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Western Australia ;,Original,A1841639F,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
52636,"TABLE 05. Estimated dwelling stock, additions and removals, South Australia",8701.0 Estimated dwelling stock,"Number of dwelling removals ;  Semi-detached, row or terrace houses, townhouses - Total ;  South Australia ;",Original,A129471783V,Quarter,2016-09-01,2022-06-01,24,Number,FLOW,3
36412,"TABLE 05. Value of Building Work Commenced by Sector, Australia - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work commenced ;  Chain Volume Measures ;  Total Residential ;  Private Sector ;,Original,A83775981R,Quarter,1987-09-01,2023-12-01,146,$'000,FLOW,3
43407,"TABLE 05. Value of Building Work Done, Chain Volume Measures, States and Territories, Seasonally Adjusted","8755.0 Construction Work Done, Australia, Preliminary",Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  Total Sectors ;  Total (Type of Work) ;  Total Non-residential ;,Seasonally Adjusted,A83778339K,Quarter,1980-09-01,2023-12-01,174,$'000,FLOW,3
52437,"TABLE 06. Activity, Australia, Original","8762.0 Engineering Construction Activity, Australia","Value of work commenced ;  Electricity generation, transmission and distribution ;",Original,A1837669T,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
52681,"TABLE 06. Estimated dwelling stock, additions and removals, Western Australia",8701.0 Estimated dwelling stock,Number of dwelling additions ;  Apartments - Total including those attached to a house ;  Western Australia ;,Original,A129471848W,Quarter,2016-09-01,2022-06-01,24,Number,FLOW,3
35435,"TABLE 06. Value of Building Work Commenced by Sector, States and Territories - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work commenced ;  Chain Volume Measures ;  Tasmania ;  Total (Type of Building) ;  Total Sectors ;,Original,A83778637J,Quarter,1973-09-01,2023-12-01,202,$'000,FLOW,3
43937,"TABLE 06. Value of Building Work Done, by Sector, Current Prices, Australia","8755.0 Construction Work Done, Australia, Preliminary",Value of work done during quarter ;  Current Prices ;  Total Sectors ;  Total (Type of Work) ;  Total Residential ;,Trend,A83802331A,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52665,"TABLE 07. Estimated dwelling stock, additions and removals, Tasmania",8701.0 Estimated dwelling stock,Dwelling stock ;  Apartments - Total including those attached to a house ;  Tasmania ;,Original,A129471811T,Quarter,2016-06-01,2022-06-01,25,Number,STOCK_CLOSE,3
43885,"TABLE 07. Value of Building Work Done, by Sector, Current Prices, States and Territories, Original","8755.0 Construction Work Done, Australia, Preliminary",Value of work done during quarter ;  Current Prices ;  Tasmania ;  Total Sectors ;  Alterations and additions including conversions ;  Total Residential ;,Original,A83798003C,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
35385,"TABLE 07. Value of Residential Building Work Commenced by Sector, Australia - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work commenced ;  Chain Volume Measures ;  Alterations and additions including conversions ;  Total Residential ;  Total Sectors ;,Seasonally Adjusted,A83774253X,Quarter,1980-03-01,2023-12-01,176,$'000,FLOW,3
52499,"TABLE 07. Value of Work Commenced by the Private Sector, for Sector, Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work commenced ;  By the private sector for the public sector ;  Other ;,Original,A1837003W,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
52661,"TABLE 08. Estimated dwelling stock, additions and removals, Northern Territory",8701.0 Estimated dwelling stock,Number of dwelling removals ;  Apartments - Total including those attached to a house ;  Northern Territory ;,Original,A129471771K,Quarter,2016-09-01,2022-06-01,24,Number,FLOW,3
43554,"TABLE 08. Value of Construction Work Done, Chain Volume Measures, States and Territories","8755.0 Construction Work Done, Australia, Preliminary",Value of work done ;  Chain Volume Measures ;  Western Australia ;  Engineering Construction ;,Original,A405080V,Quarter,1987-09-01,2023-12-01,146,$'000,FLOW,3
37067,"TABLE 08. Value of Residential Building Work Commenced, States and Territories - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work commenced ;  Chain Volume Measures ;  Tasmania ;  New ;  Total Residential ;,Original,A83770789X,Quarter,1969-09-01,2023-12-01,218,$'000,FLOW,3
51644,"TABLE 08. Value of Work Done by the Private Sector, for Sector, Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Total by the private sector ;  Water storage and supply ;,Original,A1837046W,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
52614,"TABLE 09. Estimated dwelling stock, additions and removals, Australian Capital Territory",8701.0 Estimated dwelling stock,Dwelling stock ;  Total (Type of Building) ;  Australian Capital Territory ;,Original,A129471775V,Quarter,2016-06-01,2022-06-01,25,Number,STOCK_CLOSE,3
36134,"TABLE 09. Value of Building Work Done, States and Territories - Chain Volume Measures","8752.0 Building Activity, Australia",Value of work done during quarter ;  Chain Volume Measures ;  Australia ;,Original,A83778643C,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
43531,"TABLE 09. Value of Construction Work Done, Current Prices, States and Territories, Original","8755.0 Construction Work Done, Australia, Preliminary",Value of work done ;  Current Prices ;  Australia ;  Engineering Construction ;,Original,A408889T,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
51848,"TABLE 09. Value of Work Yet To Be Done by the Private Sector, for Sector, Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work yet to be done ;  By the private sector for the public sector ;  Harbours ;,Original,A1836969A,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
99403,"TABLE 1. All Groups, Index Numbers and Percentage Changes, by Household Type","6467.0 Selected Living Cost Indexes, Australia",Percentage Change from Previous Period ;  Pensioner and beneficiary households ;  All groups ;,Original,A4116573K,Quarter,2007-09-01,2023-12-01,66,Percent,PERCENT,3
29526,"TABLE 1. Average Weekly Earnings, Australia (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Males; Full Time; Adult; Ordinary time earnings ;,Trend,A84990042R,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
33500,"TABLE 1. BALANCE OF PAYMENTS, SUMMARY: ORIGINAL - QUARTER","5302.0 Balance of Payments and International Investment Position, Australia",Services debits ;,Original,A3534014W,Quarter,1959-09-01,2023-12-01,258,$ Millions,FLOW,3
8592,TABLE 1. Credit Market Outstandings ($ million),5232.0 Australian National Accounts: Finance and Wealth,"National general government ;  Bonds, etc. held by: ;  Total (Counterparty sectors) ;",Original,A3427619J,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
53221,"TABLE 1. GOODS, Summary: Seasonally adjusted and trend estimates, Current prices",5368.0 International Trade in Goods,"Debits, Intermediate and other merchandise goods ;",Trend,A2718699X,Month,1971-07-01,2024-02-01,632,$ Millions,FLOW,1
42632,"TABLE 1. INVENTORIES, Chain volume measures","5676.0 Business Indicators, Australia",Inventories ;  Total (State) ;  Accommodation and food services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;,Original,A3538869A,Quarter,1985-09-01,2023-12-01,154,$ Millions,STOCK_CLOSE,3
54683,"TABLE 1. Job Vacancies, States and Territories ('000)","6354.0 Job Vacancies, Australia",Standard Error of Job Vacancies ;  Northern Territory ;,Original,A590823F,Quarter,1983-11-15,2024-02-15,162,000,RATIO,2
85594,"TABLE 1. Monthly CPI Indicator: All groups, Groups, select Expenditure classes and Analytical series, Australia, Index Numbers and Percentage Change from Corresponding Month of Previous Year, Weighted Average of Eight Capital Cities",6484.0 Monthly Consumer Price Index indicator,Index Numbers ;  Electricity ;  Australia ;,Original,A128474303F,Month,2017-09-01,2024-02-01,78,Index Numbers,INDEX,1
84918,"TABLE 1. PRIVATE EXPLORATION, Actual and Expected Expenditure","8412.0 Mineral and Petroleum Exploration, Australia",Actual ;  Petroleum Onshore ;,Original,A2266831C,Half year,1989-12-01,2024-06-01,70,$ Millions,FLOW,6
88015,"TABLE 1. Population Change, Summary - Australia ('000)","3101.0 National, state and territory population",Net Permanent and Long Term Movement ;  Australia ;,Original,A2133253A,Quarter,1981-06-01,2023-09-01,170,000,FLOW,3
98815,"TABLE 1. Retail Turnover, By Industry Group","8501.0 Retail Trade, Australia",Turnover ;  Total (State) ;  Food retailing ;,Trend,A3348597X,Month,1982-04-01,2024-02-01,503,$ Millions,FLOW,1
11,"TABLE 1. SECURITISERS, TOTAL ASSETS at the end of quarter ($million)",5232.0.55.001 Assets and Liabilities of Australian Securitisers,"Value of data item ;  Assets, Cash and deposits ;",Original,A2149457X,Quarter,1988-12-01,2023-12-01,141,$ Millions,STOCK,3
84649,"TABLE 1. SUMMARY MANAGED FUNDS INDUSTRY, Consolidated assets, Total funds under management at end of period","5655.0 Managed Funds, Australia",Funds managed by Australian investment managers on behalf of other Australian investment managers ;,Original,A3582194L,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
52176,"TABLE 10. Activity by the Public Sector, Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Total by the public sector ;  Water storage and supply ;,Original,A1837514X,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
42600,"TABLE 10. COMPANY PROFITS BEFORE INCOME TAX, Current prices, Percentage change from previous quarter","5676.0 Business Indicators, Australia",Profit before Income Tax quarterly percentage change ;  Total (State) ;  Financial and insurance services ;  Current Price ;  CORP ;,Seasonally Adjusted,A3530968L,Quarter,1985-12-01,2023-12-01,153,Percent,PERCENT,3
46025,"TABLE 10. CPI: Group, Sub-group and Expenditure Class, Percentage change from corresponding quarter of previous year by Capital City","6401.0 Consumer Price Index, Australia",Percentage Change from Corresponding Quarter of Previous Year ;  Footwear for infants and children ;  Hobart ;,Original,A2327992L,Quarter,1981-09-01,2023-12-01,170,Percent,PERCENT,3
43631,"TABLE 10. Engineering Construction Work Done, by Type of Construction, Australia, Original","8755.0 Construction Work Done, Australia, Preliminary",Value of work done ;  By the private sector for the private sector ;  Telecommunications ;,Original,A1836911K,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
11140,TABLE 10. Financial Assets and Liabilities of Other Private Non-Financial Corporations ($ million),5232.0 Australian National Accounts: Finance and Wealth,Net transactions during period ;  Liabilities ;  One name paper issued offshore held by: ;  Total (Counterparty sectors) ;,Original,A3424428L,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
30045,TABLE 10. INCOME CREDITS - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia","PRIMARY INCOME CREDITS, Investment income, Portfolio investment assets, Interest ;",Trend,A3531785R,Quarter,1959-09-01,2023-12-01,258,$ Millions,FLOW,3
98773,"TABLE 10. Quarterly Retail Turnover Percentage Change, Chain Volume Measures - By State","8501.0 Retail Trade, Australia",Percentage change from preceding quarter ;  Queensland ;  Total (Industry) ;,Seasonally Adjusted,A3349288L,Quarter,1983-09-01,2023-12-01,162,Percent,PERCENT,3
35124,"TABLE 10. Value of Building Work Done, States and Territories - Chain Volume Measures: Original","8752.0 Building Activity, Australia",Value of work done during quarter ;  Chain Volume Measures ;  Total Residential ;  New ;  South Australia ;,Original,A83770835A,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
29258,"TABLE 10A. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Males, Full Time Adult Ordinary Time Earnings","6302.0 Average Weekly Earnings, Australia",Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Arts and Recreation Services ;,Original,A84973011F,Biannual,1994-11-15,2023-11-15,59,$,RATIO,2
29768,"TABLE 10B. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Males, Full Time Adult Total Earnings","6302.0 Average Weekly Earnings, Australia",Standard Errors ;  Earnings; Males; Full Time; Adult; Total earnings ;  Manufacturing ;,Original,A85024545A,Biannual,2009-05-15,2023-11-15,30,$,RATIO,2
29960,"TABLE 10C. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Males, Total Earnings","6302.0 Average Weekly Earnings, Australia",Standard Errors ;  Earnings; Males; Total earnings ;  Retail Trade ;,Original,A85029337X,Biannual,2009-05-15,2023-11-15,30,$,RATIO,2
29545,"TABLE 10D. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Females, Full Time Adult Ordinary Time Earnings","6302.0 Average Weekly Earnings, Australia",Earnings; Females; Full Time; Adult; Ordinary time earnings ;  Manufacturing ;,Original,A84999997V,Biannual,1994-11-15,2023-11-15,59,$,RATIO,2
29645,"TABLE 10E. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Females, Full Time Adult Total Earnings","6302.0 Average Weekly Earnings, Australia",Earnings; Females; Full Time; Adult; Total earnings ;  Administrative and Support Services ;,Original,A84992371R,Biannual,1994-11-15,2023-11-15,59,$,RATIO,2
29353,"TABLE 10F. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Females, Total Earnings","6302.0 Average Weekly Earnings, Australia",Earnings; Females; Total earnings ;  Arts and Recreation Services ;,Original,A84973021K,Biannual,1994-11-15,2023-11-15,59,$,RATIO,2
29402,"TABLE 10G. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Persons, Full Time Adult Ordinary Time Earnings","6302.0 Average Weekly Earnings, Australia",Standard Errors ;  Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Information Media and Telecommunications ;,Original,A85028169F,Biannual,2009-05-15,2023-11-15,30,$,RATIO,2
29491,"TABLE 10H. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Persons, Full Time Adult Total Earnings","6302.0 Average Weekly Earnings, Australia","Standard Errors ;  Earnings; Persons; Full Time; Adult; Total earnings ;  Electricity, Gas, Water and Waste Services ;",Original,A85028712W,Biannual,2009-05-15,2023-11-15,30,$,RATIO,2
29731,"TABLE 10I. Average Weekly Earnings, Industry, Australia (Dollars) - Original - Persons, Total Earnings","6302.0 Average Weekly Earnings, Australia","Standard Errors ;  Earnings; Persons; Total earnings ;  Electricity, Gas, Water and Waste Services ;",Original,A85028715C,Biannual,2009-05-15,2023-11-15,30,$,RATIO,2
52342,"TABLE 11. Activity for the Public Sector, Australia, Original","8762.0 Engineering Construction Activity, Australia","Value of work yet to be done ;  Total for the public sector ;  Roads, highways and subdivisions ;",Original,A1837578K,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
42564,"TABLE 11. COMPANY GROSS OPERATING PROFITS, Current prices","5676.0 Business Indicators, Australia",Gross Operating Profits ;  Total (State) ;  Other services ;  Current Price ;  CORP ;,Seasonally Adjusted,A3531027C,Quarter,1994-09-01,2023-12-01,118,$ Millions,FLOW,3
47789,"TABLE 11. CPI: Group, Sub-group and Expenditure Class, Percentage change from previous quarter by Capital City","6401.0 Consumer Price Index, Australia",Percentage Change from Previous Period ;  All groups CPI excluding Housing ;  Canberra ;,Original,A2332235X,Quarter,1972-12-01,2023-12-01,205,Percent,PERCENT,3
43506,"TABLE 11. Engineering Construction Work Done, by Type of Construction, States and Territories, Original","8755.0 Construction Work Done, Australia, Preliminary","Value of work done ;  Australian Capital Territory ;  Total all sectors ;  Roads, highways and subdivisions ;",Original,A1843793R,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
30894,TABLE 11. INCOME DEBITS - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia","PRIMARY INCOME DEBITS, Investment income, Direct investment, Interest, Memorandum: FISIM ;",Original,A3529726X,Quarter,1959-09-01,2023-12-01,258,$ Millions,FLOW,3
9645,"TABLE 11. Public Non-Financial Corporations Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,Acquisitions less disposals of non-produced non-financial assets ;,Seasonally Adjusted,A83822503J,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
98678,"TABLE 11. Retail Turnover, State by Industry Subgroup, Original","8501.0 Retail Trade, Australia",Turnover ;  Tasmania ;  Supermarket and grocery stores ;,Original,A3349370X,Month,1982-04-01,2024-02-01,503,$ Millions,FLOW,1
35780,"TABLE 11. Value of Building Work Commenced, States and Territories - Chain Volume Measures: Original","8752.0 Building Activity, Australia",Value of work commenced ;  Chain Volume Measures ;  Total Non-residential ;  Total (Type of Work) ;  Victoria ;,Original,A83778821J,Quarter,1969-09-01,2023-12-01,218,$'000,FLOW,3
29418,"TABLE 11A. Average Weekly Earnings, New South Wales (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Females; Total earnings ;  New South Wales ;,Trend,A84982981L,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
29582,"TABLE 11B. Average Weekly Earnings, Victoria (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Trend,A84994893K,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
29632,"TABLE 11C. Average Weekly Earnings, Queensland (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Persons; Total earnings ;  Queensland ;,Trend,A84982991T,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
29787,"TABLE 11D. Average Weekly Earnings, South Australia (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Males; Full Time; Adult; Total earnings ;  South Australia ;,Trend,A84999990C,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
29933,"TABLE 11E. Average Weekly Earnings, Western Australia (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Western Australia ;,Trend,A85004098L,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
